zero_tol,n_qubits,depth,circuit_variant,zero_fraction_ZZ_terms,zero_fraction_Z_terms,mean_abs_offdiag_obs,block_zz_obs,block_x_obs,block_z_obs,block_zz_x_obs,block_zz_z_obs,block_x_z_obs,block_zz_abs_obs,block_x_abs_obs,block_z_abs_obs,block_zz_x_abs_obs,block_zz_z_abs_obs,block_x_z_abs_obs,lam_max_ratio
1e-10,4,8,hea,0.11458333333333336,0.08203125,0.13933712121212122,0.017708333333333333,0.027777777777777787,0.015451388888888895,0.0008680555555555562,-0.003038194444444443,-0.011783854166666666,0.13020833333333334,0.14097222222222222,0.1597222222222222,0.1253472222222222,0.14244791666666667,0.14095052083333334,1.2955369343246268
1e-12,4,8,hea,0.11458333333333336,0.08203125,0.13933712121212122,0.017708333333333333,0.027777777777777787,0.015451388888888895,0.0008680555555555562,-0.003038194444444443,-0.011783854166666666,0.13020833333333334,0.14097222222222222,0.1597222222222222,0.1253472222222222,0.14244791666666667,0.14095052083333334,1.2956818331638127
1e-08,6,8,hea,0.14583333333333334,0.09201388888888888,0.0935202205882353,-0.016805555555555553,-0.007685185185185185,0.007083333333333334,-0.00673611111111111,0.011018518518518518,-0.0013117283950617288,0.08937500000000001,0.08893518518518517,0.10249999999999998,0.09004629629629628,0.09708333333333335,0.09276620370370368,1.199983724069026
1e-09,6,8,hea,0.14583333333333334,0.09201388888888888,0.0935202205882353,-0.016805555555555553,-0.007685185185185185,0.007083333333333334,-0.00673611111111111,0.011018518518518518,-0.0013117283950617288,0.08937500000000001,0.08893518518518517,0.10249999999999998,0.09004629629629628,0.09708333333333335,0.09276620370370368,1.1998579110885945
1e-10,6,8,hea,0.14583333333333334,0.09201388888888888,0.0935202205882353,-0.016805555555555553,-0.007685185185185185,0.007083333333333334,-0.00673611111111111,0.011018518518518518,-0.0013117283950617288,0.08937500000000001,0.08893518518518517,0.10249999999999998,0.09004629629629628,0.09708333333333335,0.09276620370370368,1.2004365814070597
1e-12,6,8,hea,0.14583333333333334,0.09201388888888888,0.0935202205882353,-0.016805555555555553,-0.007685185185185185,0.007083333333333334,-0.00673611111111111,0.011018518518518518,-0.0013117283950617288,0.08937500000000001,0.08893518518518517,0.10249999999999998,0.09004629629629628,0.09708333333333335,0.09276620370370368,1.1996054548846458
1e-08,8,8,hea,0.16744791666666667,0.0986328125,0.07167325428194994,-0.0008928571428571422,-0.0032180059523809522,0.006194196428571429,-0.002641369047619047,-0.0018136160714285717,0.002140299479166667,0.07182539682539682,0.0673549107142857,0.07656249999999999,0.0693452380952381,0.07203311011904762,0.073095703125,1.0955752930272282
1e-09,8,8,hea,0.1674107142857143,0.0986328125,0.07167737154150197,-0.0009176587301587294,-0.0032180059523809522,0.006194196428571429,-0.002632068452380952,-0.0017857142857142863,0.002140299479166667,0.07185019841269842,0.0673549107142857,0.07656249999999999,0.06935453869047618,0.07203311011904762,0.073095703125,1.0952609678832579
1e-10,8,8,hea,0.1674107142857143,0.0986328125,0.07167737154150197,-0.0009176587301587294,-0.0032180059523809522,0.006194196428571429,-0.002632068452380952,-0.0017857142857142863,0.002140299479166667,0.07185019841269842,0.0673549107142857,0.07656249999999999,0.06935453869047618,0.07203311011904762,0.073095703125,1.0959174732451344
1e-12,8,8,hea,0.1674107142857143,0.0986328125,0.07167737154150197,-0.0009176587301587294,-0.0032180059523809522,0.006194196428571429,-0.002632068452380952,-0.0017857142857142863,0.002140299479166667,0.07185019841269842,0.0673549107142857,0.07656249999999999,0.06935453869047618,0.07203311011904762,0.073095703125,1.0957555085876418
1e-08,10,8,hea,0.18194444444444444,0.10312499999999997,0.06083538587848934,-0.0013541666666666663,0.0015462962962962967,-0.00014814814814814863,0.0009722222222222222,-0.0004074074074074075,-0.00018333333333333296,0.060659722222222226,0.05973148148148147,0.06423148148148147,0.05936574074074075,0.062018518518518514,0.06012499999999999,1.0599585361707653
1e-09,10,8,hea,0.18194444444444444,0.10312499999999997,0.06083538587848934,-0.0013541666666666663,0.0015462962962962967,-0.00014814814814814863,0.0009722222222222222,-0.0004074074074074075,-0.00018333333333333296,0.060659722222222226,0.05973148148148147,0.06423148148148147,0.05936574074074075,0.062018518518518514,0.06012499999999999,1.0591036929994277
1e-10,10,8,hea,0.18194444444444444,0.10312499999999997,0.06083538587848934,-0.0013541666666666663,0.0015462962962962967,-0.00014814814814814863,0.0009722222222222222,-0.0004074074074074075,-0.00018333333333333296,0.060659722222222226,0.05973148148148147,0.06423148148148147,0.05936574074074075,0.062018518518518514,0.06012499999999999,1.0601377652174808
1e-12,10,8,hea,0.18194444444444444,0.10312499999999997,0.06083538587848934,-0.0013541666666666663,0.0015462962962962967,-0.00014814814814814863,0.0009722222222222222,-0.0004074074074074075,-0.00018333333333333296,0.060659722222222226,0.05973148148148147,0.06423148148148147,0.05936574074074075,0.062018518518518514,0.06012499999999999,1.0598625795487853
1e-08,4,4,hva,0.1666666666666667,0.1666666666666667,0.3781818181818182,0.4000000000000001,0.26666666666666666,0.25555555555555554,-0.02592592592592594,0.037037037037037056,-0.019444444444444445,0.5259259259259259,0.5925925925925924,0.5074074074074074,0.29814814814814816,0.3796296296296296,0.28055555555555556,1.7744367318233005
